row ID,x,y,z,r,"Benzenepropanoic acid, 4-hydroxy-",4-Methylcinnamic acid,8-Methylnonanoic acid,Diethyltoluamide,Caffeine,delta-Dodecalactone,N-Tetradecanoyl-L-homoserine Lactone,Diphenhydramine 147-24-0,Myristic acid ethyl ester,"cis-9,10-methylene-hexadecanoic acid",Diisobutyl phthalate,"Conjugated linoleic Acid (10E,12Z)",Iodopropynyl butylcarbamate,Oleic acid,(-)-Epicatechin,Dihydrosphingosine (19:0),Phytosphingosine,Monoelaidin,Sodium laureth sulfate + Na,Dioctyl phthalate,Tributoxyethyl phosphate,Hydrocortisone valerate
Plate6_V4_GH5_01_16998,63.5052,-42.6453,75.22,0.6,0,0,13924.59961,60177.89844,29229.09961,15479.5,205621,0,76911.60156,18202.69922,17846.59961,110982,0,529618,13464.2998,65482.60156,0,29030,0,11611.2998,30101,0
Plate6_V4_GH6_01_16999,62.2419,-42.2599,73.9003,0.6,0,0,11752.7998,75505.29688,28287.09961,0,320355,0,22539.30078,14688.40039,22817.40039,74600.10156,0,550725,4004.350098,77558.5,11724.7998,32844.80078,14073.2998,13753.2002,24674.09961,3436.889893
Plate6_V4_GH7_01_17000,63.2769,-40.8428,75.05,0.6,0,0,6262.529785,100287,24848.19922,11477.2998,206109,0,126883,15935.90039,19055.19922,132317,0,519782,0,136232,21810.59961,13992.59961,0,13821,26591.30078,0
Plate6_V4_GH8_01_17001,63.1782,-39.1987,74.1653,0.6,0,0,6378.839844,57371.39844,26312.90039,0,116770,0,32204.5,4408.930176,18852.59961,62864.60156,0,227559,7100.330078,111357,3432.48999,35566.69922,0,4668.290039,31202.90039,0
Plate6_V4_GH9_01_17002,61.8606,-41.3356,72.6385,0.6,38921.39844,0,8618.570313,38146.60156,0,5453.560059,162650,3365.23999,51360.80078,15689.7002,22087.59961,87748.5,0,445859,0,0,0,27725.19922,0,5014.950195,13411.40039,0
Plate7_V4_GA10_01_17018,62.8534,-41.0863,66.9528,0.6,5487.299805,0,31843.69922,32994.19922,9585.849609,2557.929932,162068,0,170260,10800,18315.5,80263.79688,0,52400.89844,0,15948.7998,0,28107.30078,0,23291.69922,30099.40039,0
Plate7_V4_GA11_01_17019,62.8753,-39.8744,65.975,0.6,0,0,8221.660156,34242.30078,4256.700195,5914.680176,183742,0,11886.90039,5831.569824,16947,59224.60156,0,379900,9269.620117,15643.40039,0,69165.89844,0,21676.19922,24330.69922,0
Plate7_V4_GA12_01_17020,62.847,-41.2056,65.7335,0.6,18770.40039,0,10880,26006.5,3922.76001,0,105805,0,44887.10156,0,0,30986.90039,0,276787,0,9988.009766,9374.669922,52584.19922,0,34356.19922,25453.19922,0
Plate7_V4_GA5_01_17013,62.3868,-39.3017,70.7821,0.6,15384.5,0,8887.910156,168614,0,9252.740234,251016,14194.40039,4235.839844,13371.5,38650.39844,140453,0,519849,10887.2002,25597.5,10009.2002,14289.7002,0,11893.2998,16391.5,0
Plate7_V4_GA6_01_17014,62.5872,-40.1747,69.0122,0.6,12669.2002,0,11228.2998,64053.10156,15016.7998,9850.19043,183407,0,5485.540039,301000,21592.59961,70639.10156,0,335872,82582.70313,0,2012.130005,43951.19922,0,11015.7002,25789.5,0
Plate7_V4_GA7_01_17015,62.6255,-41.7632,68.5018,0.6,0,0,8908.709961,25138.30078,0,6408.080078,153068,0,23932.90039,4477.5,0,39747.39844,0,364870,0,18887,3610.610107,36388.60156,8653.360352,9252.209961,18295.09961,0
Plate7_V4_GA8_01_17016,62.7072,-40.9285,67.9382,0.6,0,0,10662.09961,73464.20313,0,26709.59961,207371,0,109467,8811.900391,16431.5,67156.5,0,398862,10777.90039,12446.09961,0,17607.90039,0,8610.839844,16631.80078,0
Plate7_V4_GA9_01_17017,62.9963,-39.9672,67.1929,0.6,0,0,0,0,0,0,18538.19922,0,8805.679688,0,5259.720215,15000,0,54638.80078,0,6908.660156,0,6983.5,0,2892.550049,0,0
Plate7_V4_GB10_01_17033,61.559,-46.5353,50.7832,0.6,14146.90039,0,3373.149902,0,0,0,24464.19922,0,0,0,20528.30078,20081.19922,0,96974,4966.330078,20676.80078,0,9029.490234,0,19708.30078,25102.90039,0
Plate7_V4_GB11_01_17034,63.9813,-47.2989,51.8088,0.6,0,0,3890.459961,39084.30078,0,0,18608.5,0,0,0,17886.69922,12028.5,0,85844.29688,0,16226.59961,8887.150391,8109.390137,0,16313.90039,19296.09961,0
Plate7_V4_GB12_01_17035,61.6899,-46.4013,49.3166,0.6,0,0,2499.570068,36668.5,0,0,23614.19922,0,0,0,18207.90039,11854.90039,0,89457.39844,0,15489.2002,0,7358.600098,0,16739.59961,27930.09961,0
Plate7_V4_GB1_01_17023,60.5665,-43.2705,62.8657,0.6,0,0,0,0,0,0,7235.490234,0,0,0,5358.620117,10272.5,0,30780.69922,0,41085,0,0,0,9666.639648,0,0
Plate7_V4_GB2_01_17024,62.4511,-43.9721,62.1022,0.6,7185.919922,0,8588.330078,16004.59961,0,2162.76001,114133,0,54990.19922,0,22210.80078,58982,0,321319,0,9430.919922,7004.350098,79908.5,0,21442.90039,20526.19922,0
Plate7_V4_GB3_01_17025,64.1925,-43.9846,61.7941,0.6,20376.69922,0,12096.7998,0,2359.27002,2338.939941,109623,0,52398.39844,0,15863.7002,46691.30078,0,267761,0,0,7789.060059,66539.5,0,28822.30078,28883.19922,0
Plate7_V4_GB4_01_17026,64.1267,-44.2467,63.9122,0.6,0,0,12356.5,197420,13328.7998,5929.810059,105830,0,96439.60156,12631.09961,62564.39844,63061.19922,0,222429,0,15788.2998,7659.049805,41363.10156,0,26830.59961,17729.30078,0
Plate7_V4_GB5_01_17027,63.9062,-45.1859,60.3563,0.6,37847.80078,0,8799.910156,19172.90039,14643.09961,7625.189941,129999,0,83956.5,10268.59961,17789.19922,57008.19922,0,379991,0,24015.80078,0,51051.60156,0,15780.09961,26357.09961,0
Plate7_V4_GB6_01_17028,61.6285,-46.0923,58.9699,0.6,0,0,4075.199951,36548.19922,0,0,74442.10156,0,54288.80078,0,23215.19922,26143.09961,0,210742,2588.050049,12488.59961,7206.399902,51836.10156,0,18259.09961,12719.59961,0
Plate7_V4_GB7_01_17031,60.1484,-45.292,58.948,0.6,4451.680176,0,1965.569946,72767.29688,0,0,19336.69922,0,0,0,20729.19922,8803.490234,10743.5,65735.5,0,22759.5,20487.30078,20163.90039,0,18961.19922,8752.549805,0
Plate7_V4_GB8_01_17030,63.0513,-46.3698,58.956,0.6,0,0,9595.320313,34091.19922,2647.01001,7570.580078,122611,0,19673.09961,10063.40039,23662.09961,66263.29688,0,351989,16315.7998,14005.5,15047.7998,59457,0,13906.7002,36622.5,0
Plate7_V4_GB9_01_17032,64.5406,-46.3754,58.9056,0.6,0,0,6290.580078,18778.80078,0,7625.509766,169483,0,72272.20313,7382.109863,14942,48755.10156,0,367105,2939.070068,13095.2002,19105.90039,85232.10156,0,14749.40039,18462.09961,0
Plate7_V4_GC10_01_17047,58.4229,-45.7676,37.4608,0.6,9129.44043,0,5353.399902,49322.89844,0,5966.680176,14890.7998,0,0,0,13081.59961,12928.7998,0,68830.20313,17931.5,22212,13358.2998,0,0,34204.80078,16838.09961,0
Plate7_V4_GC11_01_17048,61.82,-45.9695,37.2765,0.6,10016.40039,0,4783.859863,37569,3342.149902,16558.69922,13228.2002,0,0,0,16233,17492.90039,8337.269531,77507.89844,0,16313.2002,0,7786.629883,0,16385.40039,14186.90039,0
Plate7_V4_GC12_01_17049,60.9623,-46.6181,34.5407,0.6,0,0,4244.540039,37968.10156,0,14310.90039,10294.7002,0,0,0,11798.2998,10884.40039,0,64205.30078,0,13165.7002,0,4066.560059,0,22362.09961,18478.30078,0
Plate7_V4_GC1_01_17038,63.9905,-47.1338,50.2032,0.6,9266.679688,0,3366.820068,52643.89844,0,0,18364.90039,0,0,0,29901.80078,15458.09961,0,67170.79688,0,0,12675,13406.2002,0,12763.7002,24419.30078,0
Plate7_V4_GC2_01_17039,62.0144,-46.3305,48.1256,0.6,37183.80078,0,4236.310059,66211,23867.59961,0,13863.5,0,0,0,20260.19922,11149.2002,0,70224.29688,7986.839844,17331.40039,0,0,0,15990.7998,25858.40039,0
Plate7_V4_GC3_01_17040,63.8954,-46.857,48.2734,0.6,0,0,5216.97998,48169.80078,0,4080.899902,14248.59961,0,0,0,19502,11082.7002,6079.02002,79218.70313,0,51157.60156,0,4574.459961,0,10678.40039,15866,7210.779785
Plate7_V4_GC4_01_17041,60.9072,-45.7747,47.079,0.6,42051.30078,0,5454.77002,53093.10156,16834.80078,0,17229.40039,0,11729.09961,0,17071.5,14131.09961,4123.330078,85529.10156,0,14265.5,0,0,0,14010.40039,17211.80078,0
Plate7_V4_GC5_01_17042,64.9312,-46.6105,47.2342,0.6,18457.59961,0,4068.320068,32389.09961,58691.19922,22058.5,24080.69922,0,0,0,13202.7002,23686.19922,21469.80078,83715.70313,2688.790039,33720.30078,1135340,9951.780273,0,6699.430176,45048.39844,0
Plate7_V4_GC6_01_17043,59.4129,-45.1396,43.8707,0.6,0,0,4690.629883,24197.59961,0,5548.049805,18586.59961,0,0,0,18991.30078,11406.09961,0,77627.60156,0,17690.5,0,4471.75,0,11900.59961,26970.30078,0
Plate7_V4_GC7_01_17044,58.8358,-45.3099,41.7319,0.6,10597.09961,0,0,57039.80078,0,5598.580078,14663.40039,0,0,0,10256.7998,8562.900391,0,65230.39844,7383.97998,0,0,8995.580078,0,13581.40039,17564.09961,0
Plate7_V4_GC8_01_17045,60.7048,-45.9814,41.6915,0.6,0,0,3134.639893,50798.19922,13595.59961,10998,14295,0,0,0,13592.7998,10812.7998,8412.900391,81569.39844,0,17697.40039,15753,5235.779785,0,15177.2998,22759.09961,0
Plate7_V4_GC9_01_17046,59.1216,-45.846,40.3946,0.6,0,0,2501.860107,52225.69922,0,6864.140137,13040.5,0,0,0,11001.59961,9513.730469,0,65891.39844,0,17119.19922,14898.59961,7602.359863,0,21492.69922,27502.59961,0
Plate7_V4_GD10_01_17063,60.0602,-43.1286,13.2617,0.6,0,0,5243.77002,70405.10156,0,17707.59961,16264.59961,0,0,0,13710.2998,13211.7002,0,69615.79688,3511.540039,16518,11245.2002,6683.899902,0,24258.5,46902.60156,0
Plate7_V4_GD11_01_17064,62.8868,-42.054,13.016,0.6,0,0,3444.340088,30028,24504.5,6432.600098,14806.40039,0,0,0,16568.19922,12925.40039,0,74817.70313,0,0,1724.97998,7956.22998,0,25736.69922,35419.89844,0
Plate7_V4_GD12_01_17065,61.4559,-43.1657,10.2808,0.6,0,0,6005.160156,42406.60156,0,7091.419922,9553.379883,0,9322.179688,0,16142.90039,11861.59961,0,51994.60156,4151.560059,14399.90039,15007.09961,6124.430176,0,11094.7002,31357.19922,0
Plate7_V4_GD1_01_17061,59.277,-46.2797,32.3281,0.6,0,0,8336.719727,42127.60156,0,4655.589844,15386.40039,0,0,0,19586.19922,10987.59961,0,82140.89844,0,13650.40039,0,0,0,12812,17271.30078,0
Plate7_V4_GD2_01_17053,62.5446,-45.7832,31.9354,0.6,0,0,4408.589844,36018.10156,0,5650.640137,14840.5,0,0,0,19675.09961,13687.09961,0,97501.10156,4839.839844,14560.7002,11716.59961,6226.379883,0,17893.59961,15168.7998,0
Plate7_V4_GD3_01_17054,60.9461,-46.0802,28.9243,0.6,0,0,5358.529785,48884.39844,0,8405.490234,10835.7002,0,0,0,15171.7002,12599.2002,0,96566.39844,0,0,0,4719.080078,0,17175.19922,20030.80078,0
Plate7_V4_GD4_01_17055,59.5576,-45.3839,27.3831,0.6,42484.19922,0,5850.589844,47251.69922,0,10619.09961,17789.19922,0,0,0,10653.09961,13292.09961,0,76394.89844,20942.59961,18024.5,15405.5,5239.640137,0,17242.59961,40591.19922,0
Plate7_V4_GD5_01_17056,62.5171,-45.3548,26.6835,0.6,0,0,4448.120117,67140.89844,0,0,14451,0,0,0,13192.90039,12442,0,73276.39844,0,25072,17625.90039,0,0,17959.69922,39111.80078,0
Plate7_V4_GD6_01_17057,60.7401,-45.475,22.4983,0.6,9455.259766,0,3098.879883,50972.60156,52549.19922,9000.19043,17845.69922,0,0,0,10761.59961,13645.59961,0,109316,0,18576.69922,20083.69922,4501.149902,0,10360.2998,44901.5,0
Plate7_V4_GD7_01_17058,59.5972,-43.0709,18.7534,0.6,0,0,4215.390137,39220.39844,24540.90039,18157.09961,9505.540039,0,0,0,10657.7002,11564.90039,0,48796.10156,0,5023.819824,10723.7002,1843.410034,0,8408.990234,34233.10156,0
Plate7_V4_GD8_01_17060,62.4989,-43.3586,19.1324,0.6,42419.10156,0,16577.30078,31626.09961,16632.5,6304.910156,23300.59961,0,0,0,114944,15654.59961,0,39919.5,6982.029785,30880.90039,17725.59961,0,0,22994.5,52002.30078,3234.26001
Plate7_V4_GD9_01_17062,61.4157,-43.4441,15.3749,0.6,29739.80078,0,5379.649902,28568.90039,0,7783.77002,11934.09961,0,0,0,10349.09961,12463.5,0,89734,0,65801.20313,12441.2002,3078.610107,0,12684.2002,113145,0
Plate7_V4_GE10_01_17078,63.7618,-40.2054,34.7234,0.6,71857.5,0,2931.379883,30652.90039,13632.2998,0,10991.09961,0,0,0,15169.90039,10031.2998,0,69788.10156,0,98837.5,13543.7002,0,0,22900.19922,14137.2998,0
Plate7_V4_GE11_01_17079,63.9122,-44.2403,29.8455,0.6,0,0,4397.419922,17376.40039,0,18348.59961,9881.099609,0,0,0,13085.5,8806.129883,0,81682.70313,0,8806.120117,0,8343.679688,0,9156.19043,7507.720215,0
Plate7_V4_GE12_01_17080,63.1744,-44.9044,28.0546,0.6,0,0,2862.23999,21446.09961,0,21721.59961,15226.2002,0,0,0,11198.2002,14253.5,0,83676.79688,4636.310059,14703.5,10670.09961,0,0,11038.59961,8598.360352,0
Plate7_V4_GE1_01_17068,60.5872,-43.0142,9.0087,0.6,0,0,3187.709961,76812.79688,0,9307.05957,19676.09961,0,0,0,15468.7998,13980.7002,0,90784.39844,0,90039.79688,5589.830078,10619.7002,0,41274.10156,40650,0
Plate7_V4_GE2_01_17069,62.1929,-42.7722,8.2972,0.6,6387.540039,0,5602.180176,53023.30078,33923.69922,0,18338,0,0,0,19877.40039,13102,0,80660.10156,0,32423.90039,0,0,0,42539.5,61365.69922,0
Plate7_V4_GE3_01_17070,60.6116,-42.6215,5.2163,0.6,0,0,4316.680176,51695.39844,18173.59961,7534.209961,16519.09961,0,0,0,8991.490234,16874.40039,0,78798.89844,0,91368.79688,10599.40039,9050.660156,0,20968.09961,56833.80078,0
Plate7_V4_GE4_01_17072,62.2174,-43.162,5.6139,0.6,0,0,5447.189941,66631.10156,0,8039.890137,20799,0,0,0,19080.40039,13225.59961,0,99565.29688,0,45023.69922,0,6343.470215,0,28249.09961,54813.39844,0
Plate7_V4_GE5_01_17073,62.9135,-45.1512,36.623,0.6,0,0,2578.129883,40882,0,12501.2002,12577.40039,0,0,0,15614.2002,14482,0,75645.5,4202.029785,22646,0,0,0,15037,13819.90039,0
Plate7_V4_GE6_01_17074,63.9162,-44.1401,34.8814,0.6,0,0,2537.75,13865.90039,0,10532.5,9588.480469,0,0,0,15661.5,12770.90039,0,76369.5,6002.200195,8339.719727,0,0,0,12477.7002,12662.2998,0
Plate7_V4_GE7_01_17075,64.3925,-42.6405,33.9749,0.6,0,0,2301.120117,22610.40039,9390.660156,4354.709961,10928.90039,0,0,0,12999.2002,12795.2002,0,78333,6875.149902,18810.09961,9846.089844,3572.120117,0,8946.900391,5454.390137,8772.94043
Plate7_V4_GE8_01_17076,64.2088,-38.9376,37.5947,0.6,0,0,4310.220215,11127.40039,0,0,12327.7002,0,0,0,13886.09961,17147.59961,0,86158.60156,0,13688.7002,5370.430176,5594.779785,0,7493.189941,19191.09961,0
Plate7_V4_GE9_01_17077,63.1973,-45.228,31.6156,0.6,0,0,6557.700195,34486.10156,0,20647.59961,11946.7998,0,0,0,10222.59961,13846.7002,0,85028.10156,0,23696.80078,14862.2002,0,0,13330.5,10757.59961,0
Plate7_V4_GF10_01_17092,56.4628,-42.5078,60.7405,0.6,44471.19922,0,2723.22998,59527.39844,33561.69922,0,48313.69922,0,4828.589844,0,20425.59961,16522.30078,0,95790.39844,0,18432.19922,0,35043.89844,0,8335.599609,25123.30078,0
Plate7_V4_GF11_01_17093,56.0255,-42.0729,58.0037,0.6,35783.5,0,2623.01001,49222.69922,29092.30078,0,16707.69922,0,0,0,19062.19922,13656.2998,0,65110.39844,0,17930.5,0,10854.7002,0,10133.5,21535.80078,0
Plate7_V4_GF12_01_17094,57.4631,-41.0677,55.4613,0.6,38682.60156,0,4441.540039,47722.30078,0,0,10184.5,0,0,0,18000.30078,8630.450195,1897.72998,34252.30078,0,8673.480469,8472.799805,5710.240234,0,10803,48177.5,0
Plate7_V4_GF1_01_17083,64.2115,-42.4945,29.7348,0.6,33438.5,0,4042.100098,28363.90039,0,0,12312.2002,0,0,0,11836.90039,12572.40039,0,97950.20313,0,18597.69922,0,0,0,25040.90039,16502.5,0
Plate7_V4_GF2_01_17084,63.733,-44.0168,25.8043,0.6,0,0,3427.939941,25497.09961,2263.820068,16687.5,11161.59961,0,0,0,8919.419922,23160.09961,0,88431.39844,16023.2998,96658.89844,7226.220215,0,0,14825.59961,11949.5,0
Plate7_V4_GF3_01_17085,63.3184,-44.3242,24.5192,0.6,0,0,5353.27002,32151.40039,0,7566.120117,13489.7998,0,0,0,14812,14939.2002,0,81857.79688,6992.859863,25120.30078,0,1501.300049,0,20133.90039,25680.40039,0
Plate7_V4_GF4_01_17086,64.1233,-42.6248,26.8741,0.6,0,0,3240.699951,42900.10156,0,0,18376.19922,0,0,0,13163.2002,19639.40039,0,79735,0,23113.69922,0,8756.849609,0,20087.59961,20038.30078,0
Plate7_V4_GF5_01_17087,63.5631,-43.8435,23.5208,0.6,0,0,5776.120117,41426.60156,15667.7002,0,12896.5,0,0,0,11841.2002,9237.389648,0,95007.89844,0,17755.5,15477.59961,3418.399902,0,15255,31075.69922,0
Plate7_V4_GF6_01_17088,63.9932,-42.6483,24.9631,0.6,0,0,6133.759766,47477.5,0,0,19640,0,0,0,14392.2002,14680.7002,0,79788.29688,8645.049805,33557.89844,0,0,0,16808.19922,24125.30078,0
Plate7_V4_GF7_01_17089,63.6429,-43.3153,22.3643,0.6,27566.90039,0,7068.529785,55343.60156,19160.90039,0,19594.40039,0,9861.429688,0,13672,21175,0,70855.10156,6116.72998,37828.19922,22899.90039,8451.959961,0,10328.2998,78918.60156,0
Plate7_V4_GF8_01_17090,63.6427,-42.9012,25.3145,0.6,0,0,0,21893.69922,0,0,6972.069824,0,0,0,9513.30957,6993.060059,0,36450.80078,14619.5,130482,0,0,0,3984.659912,35273.69922,0
Plate7_V4_GF9_01_17091,57.5961,-42.549,62.9053,0.6,0,0,4789.200195,67172.29688,23620.30078,0,107247,0,35495.5,0,25615.19922,43074.30078,0,210179,4912.25,14179.59961,9992.089844,52353,0,17072,28238.40039,0
Plate7_V4_GG10_01_17106,54.811,-40.437,44.2544,0.6,0,0,5446.720215,28203.09961,0,0,15158.7002,0,0,0,14789.59961,11090.2998,0,75681.29688,0,12226.90039,11863.09961,7056.089844,0,8613.419922,40358.60156,0
Plate7_V4_GG11_01_17107,57.6147,-41.7123,57.9385,0.6,5380.009766,0,1668.52002,66832.60156,14435.2998,0,6541.819824,0,0,0,19268.90039,16259.2998,5305.830078,42925.10156,0,28963.30078,13449.7998,8361.370117,0,19156.80078,10036.09961,0
Plate7_V4_GG12_01_17108,57.7816,-41.736,58.4973,0.6,0,0,0,31496.09961,0,0,5497.120117,0,0,0,20582.5,11229.90039,4714.299805,33820.10156,0,0,7411.459961,5349.919922,0,8215.959961,8273.459961,0
Plate7_V4_GG1_01_17097,56.0201,-42.4248,55.0223,0.6,0,0,5119.910156,30220.80078,2756.389893,0,13180.5,0,0,0,18526.69922,16524.5,0,95309.70313,0,0,0,10970.90039,0,8772.30957,25047.90039,0
Plate7_V4_GG2_01_17098,55.651,-42.413,52.593,0.6,36605.30078,0,7266.399902,45856.69922,13977.7002,0,19905.09961,0,0,0,19919.5,17621.40039,0,103858,1205.01001,10944.2002,0,8150.180176,0,10130.40039,25927.69922,0
Plate7_V4_GG3_01_17099,57.0753,-41.0569,53.6267,0.6,0,0,4907.220215,47742,6475.640137,0,19436.80078,0,0,0,17381.19922,13489.7002,0,72785.5,12208.5,10219.7002,8595.120117,4952.390137,0,14349.7998,29755.59961,0
Plate7_V4_GG4_01_17100,55.4405,-42.6316,50.6687,0.6,41965.69922,0,6678.459961,0,0,0,14607.59961,0,0,0,21738.69922,16683.19922,0,28110.90039,0,18038.19922,15412.09961,11274.2002,0,15151.7998,31590.80078,0
Plate7_V4_GG5_01_17101,56.7674,-41.5091,50.405,0.6,0,0,4484.160156,22653.19922,0,0,13451.90039,0,0,0,14501.7002,22874.69922,0,23856.19922,0,98962.70313,0,15504.2002,0,8216,22542.80078,0
Plate7_V4_GG6_01_17102,56.2388,-41.5105,47.681,0.6,55895.89844,0,7118.660156,22622.69922,0,0,13159.2002,0,0,0,14046.90039,20432.09961,0,26399.09961,0,10187.5,1696.219971,5408.580078,0,9457.44043,34720.60156,0
Plate7_V4_GG7_01_17103,55.3651,-42.2362,47.0722,0.6,16062.2002,0,3733.51001,27787.69922,29055.59961,0,19762.80078,0,0,0,13028.7998,15291.7002,0,24732.80078,5390.97998,7714.97998,0,14693.7002,0,10462.7998,26777.40039,0
